timestamp,avg_ear,blink_detected,blink_rate,baseline_ear,baseline_blink_rate,ear_deviation,blink_rate_deviation
1767115280.1131701,0.2434,0,49.0,0.2334,38.0,0.01,11.0
1767115280.1445284,0.2639,0,49.0,0.2334,38.0,0.0305,11.0
1767115280.1762457,0.2523,0,49.0,0.2334,38.0,0.0189,11.0
1767115280.2103393,0.2571,0,49.0,0.2334,38.0,0.0237,11.0
1767115280.260257,0.2514,0,49.0,0.2334,38.0,0.018,11.0
1767115280.2921996,0.2471,0,49.0,0.2334,38.0,0.0137,11.0
1767115280.30763,0.2471,0,49.0,0.2334,38.0,0.0137,11.0
1767115280.3248427,0.2611,0,49.0,0.2334,38.0,0.0277,11.0
1767115280.3519144,0.2425,0,49.0,0.2334,38.0,0.0091,11.0
1767115280.3867583,0.2447,0,49.0,0.2334,38.0,0.0113,11.0
1767115280.451219,0.2417,0,49.0,0.2334,38.0,0.0083,11.0
1767115280.481516,0.2562,0,49.0,0.2334,38.0,0.0228,11.0
1767115280.513996,0.2346,0,49.0,0.2334,38.0,0.0012,11.0
1767115280.5431998,0.2434,0,49.0,0.2334,38.0,0.01,11.0
1767115280.5989337,0.2471,0,49.0,0.2334,38.0,0.0137,11.0
1767115280.624209,0.2514,0,49.0,0.2334,38.0,0.018,11.0
1767115280.6416461,0.2514,0,49.0,0.2334,38.0,0.018,11.0
1767115280.6674871,0.2514,0,49.0,0.2334,38.0,0.018,11.0
1767115280.6884875,0.2632,0,49.0,0.2334,38.0,0.0298,11.0
1767115280.7234676,0.2514,0,49.0,0.2334,38.0,0.018,11.0
1767115280.7517586,0.2514,0,49.0,0.2334,38.0,0.018,11.0
1767115280.7845929,0.2625,0,49.0,0.2334,38.0,0.0291,11.0
1767115280.852429,0.2611,0,49.0,0.2334,38.0,0.0277,11.0
1767115280.8783083,0.2625,0,49.0,0.2334,38.0,0.0291,11.0
1767115280.9316885,0.2471,0,49.0,0.2334,38.0,0.0137,11.0
1767115280.9616394,0.2653,0,49.0,0.2334,38.0,0.0319,11.0
1767115280.9764445,0.2653,0,49.0,0.2334,38.0,0.0319,11.0
1767115280.9967015,0.2554,0,49.0,0.2334,38.0,0.022,11.0
1767115281.0240014,0.241,0,49.0,0.2334,38.0,0.0076,11.0
1767115281.056127,0.2551,0,49.0,0.2334,38.0,0.0217,11.0
1767115281.087702,0.2416,0,49.0,0.2334,38.0,0.0082,11.0
1767115281.1200225,0.233,0,49.0,0.2334,38.0,-0.0004,11.0
1767115281.1503692,0.2419,0,49.0,0.2334,38.0,0.0085,11.0
1767115281.2224343,0.2209,0,49.0,0.2334,38.0,-0.0125,11.0
1767115281.2680888,0.0969,0,49.0,0.2334,38.0,-0.1365,11.0
1767115281.2977967,0.0993,0,49.0,0.2334,38.0,-0.1341,11.0
1767115281.3146112,0.0993,0,49.0,0.2334,38.0,-0.1341,11.0
1767115281.3364618,0.1929,0,49.0,0.2334,38.0,-0.0405,11.0
1767115281.3585036,0.2229,1,50.0,0.2334,38.0,-0.0105,12.0
1767115281.3952708,0.2322,0,50.0,0.2334,38.0,-0.0012,12.0
1767115281.4243858,0.2626,0,50.0,0.2334,38.0,0.0292,12.0
1767115281.4562619,0.2571,0,50.0,0.2334,38.0,0.0237,12.0
1767115281.4895306,0.2433,0,50.0,0.2334,38.0,0.0099,12.0
1767115281.5224924,0.2482,0,50.0,0.2334,38.0,0.0148,12.0
1767115281.55245,0.2383,0,50.0,0.2334,38.0,0.0049,12.0
1767115281.6030986,0.2383,0,50.0,0.2334,38.0,0.0049,12.0
1767115281.634464,0.2425,0,50.0,0.2334,38.0,0.0091,12.0
1767115281.664594,0.2473,0,50.0,0.2334,38.0,0.0139,12.0
1767115281.6969101,0.2383,0,50.0,0.2334,38.0,0.0049,12.0
1767115281.7287092,0.2478,0,50.0,0.2334,38.0,0.0144,12.0
1767115281.7582045,0.2418,0,50.0,0.2334,38.0,0.0084,12.0
1767115281.792584,0.2468,0,50.0,0.2334,38.0,0.0134,12.0
1767115281.8244286,0.2374,0,50.0,0.2334,38.0,0.004,12.0
1767115281.8603497,0.246,0,50.0,0.2334,38.0,0.0126,12.0
1767115281.8892455,0.2416,0,50.0,0.2334,38.0,0.0082,12.0
1767115281.9350483,0.2522,0,50.0,0.2334,38.0,0.0188,12.0
1767115281.9682848,0.2425,0,50.0,0.2334,38.0,0.0091,12.0
1767115281.999757,0.2446,0,50.0,0.2334,38.0,0.0112,12.0
1767115282.0328007,0.2346,0,50.0,0.2334,38.0,0.0012,12.0
1767115282.0680954,0.056,0,49.0,0.2334,38.0,-0.1774,11.0
1767115282.095183,0.0812,0,49.0,0.2334,38.0,-0.1522,11.0
1767115282.1289146,0.1072,0,49.0,0.2334,38.0,-0.1262,11.0
1767115282.1606326,0.1971,0,49.0,0.2334,38.0,-0.0363,11.0
1767115282.1946054,0.2142,1,50.0,0.2334,38.0,-0.0192,12.0
1767115282.225595,0.2469,0,50.0,0.2334,38.0,0.0135,12.0
1767115282.2768888,0.2433,0,50.0,0.2334,38.0,0.0099,12.0
1767115282.3067126,0.2416,0,50.0,0.2334,38.0,0.0082,12.0
1767115282.3361635,0.2383,0,50.0,0.2334,38.0,0.0049,12.0
1767115282.3705814,0.241,0,50.0,0.2334,38.0,0.0076,12.0
1767115282.4019585,0.2394,0,50.0,0.2334,38.0,0.006,12.0
1767115282.434022,0.2419,0,50.0,0.2334,38.0,0.0085,12.0
1767115282.4649663,0.2374,0,50.0,0.2334,38.0,0.004,12.0
1767115282.4977605,0.2434,0,50.0,0.2334,38.0,0.01,12.0
1767115282.5330834,0.2488,0,50.0,0.2334,38.0,0.0154,12.0
1767115282.5603955,0.2406,0,50.0,0.2334,38.0,0.0072,12.0
1767115282.611023,0.2455,0,50.0,0.2334,38.0,0.0121,12.0
1767115282.639756,0.2425,0,50.0,0.2334,38.0,0.0091,12.0
1767115282.6770024,0.2394,0,50.0,0.2334,38.0,0.006,12.0
1767115282.7046192,0.2455,0,50.0,0.2334,38.0,0.0121,12.0
1767115282.740426,0.2402,0,50.0,0.2334,38.0,0.0068,12.0
1767115282.767214,0.2346,0,50.0,0.2334,38.0,0.0012,12.0
1767115282.8016315,0.1956,0,50.0,0.2334,38.0,-0.0378,12.0
1767115282.832333,0.1956,0,50.0,0.2334,38.0,-0.0378,12.0
1767115282.8632445,0.2275,0,50.0,0.2334,38.0,-0.0059,12.0
1767115282.8977764,0.2446,0,50.0,0.2334,38.0,0.0112,12.0
1767115282.9452999,0.2537,0,50.0,0.2334,38.0,0.0203,12.0
1767115282.9809048,0.2582,0,50.0,0.2334,38.0,0.0248,12.0
1767115283.008055,0.2728,0,50.0,0.2334,38.0,0.0394,12.0
1767115283.0395734,0.2728,0,50.0,0.2334,38.0,0.0394,12.0
1767115283.0731313,0.2523,0,50.0,0.2334,38.0,0.0189,12.0
1767115283.1046865,0.2669,0,50.0,0.2334,38.0,0.0335,12.0
1767115283.1374266,0.2643,0,50.0,0.2334,38.0,0.0309,12.0
1767115283.1670358,0.2619,0,50.0,0.2334,38.0,0.0285,12.0
1767115283.2028127,0.237,0,50.0,0.2334,38.0,0.0036,12.0
1767115283.2339048,0.2417,0,50.0,0.2334,38.0,0.0083,12.0
1767115283.2841349,0.2678,0,50.0,0.2334,38.0,0.0344,12.0
1767115283.3117185,0.2639,0,50.0,0.2334,38.0,0.0305,12.0
1767115283.346661,0.2412,0,50.0,0.2334,38.0,0.0078,12.0
1767115283.3806658,0.2411,0,50.0,0.2334,38.0,0.0077,12.0
1767115283.4100149,0.242,0,50.0,0.2334,38.0,0.0086,12.0
1767115283.4408095,0.2455,0,50.0,0.2334,38.0,0.0121,12.0
1767115283.4702594,0.1267,0,50.0,0.2334,38.0,-0.1067,12.0
1767115283.5042522,0.0824,0,50.0,0.2334,38.0,-0.151,12.0
1767115283.5356612,0.0998,0,50.0,0.2334,38.0,-0.1336,12.0
1767115283.5695195,0.2081,0,50.0,0.2334,38.0,-0.0253,12.0
1767115283.6202843,0.2185,1,51.0,0.2334,38.0,-0.0149,13.0
1767115283.652821,0.2434,0,51.0,0.2334,38.0,0.01,13.0
1767115283.6805809,0.2425,0,51.0,0.2334,38.0,0.0091,13.0
1767115283.7118902,0.2514,0,51.0,0.2334,38.0,0.018,13.0
1767115283.7454793,0.2591,0,51.0,0.2334,38.0,0.0257,13.0
1767115283.777546,0.2714,0,51.0,0.2334,38.0,0.038,13.0
1767115283.8101084,0.2633,0,51.0,0.2334,38.0,0.0299,13.0
1767115283.841586,0.2664,0,51.0,0.2334,38.0,0.033,13.0
1767115283.8741863,0.2757,0,51.0,0.2334,38.0,0.0423,13.0
1767115283.9063375,0.2664,0,51.0,0.2334,38.0,0.033,13.0
1767115283.96253,0.2728,0,51.0,0.2334,38.0,0.0394,13.0
1767115283.9872983,0.2626,0,51.0,0.2334,38.0,0.0292,13.0
1767115284.0160527,0.2575,0,51.0,0.2334,38.0,0.0241,13.0
1767115284.0502977,0.2674,0,51.0,0.2334,38.0,0.034,13.0
1767115284.0814128,0.2704,0,51.0,0.2334,38.0,0.037,13.0
1767115284.1124089,0.2513,0,51.0,0.2334,38.0,0.0179,13.0
1767115284.1435945,0.2663,0,51.0,0.2334,38.0,0.0329,13.0
1767115284.1776462,0.2601,0,51.0,0.2334,38.0,0.0267,13.0
1767115284.2117991,0.2473,0,51.0,0.2334,38.0,0.0139,13.0
1767115284.239155,0.2473,0,51.0,0.2334,38.0,0.0139,13.0
1767115284.2895336,0.2726,0,51.0,0.2334,38.0,0.0392,13.0
1767115284.323186,0.2818,0,51.0,0.2334,38.0,0.0484,13.0
1767115284.341936,0.2818,0,51.0,0.2334,38.0,0.0484,13.0
1767115284.365732,0.2746,0,51.0,0.2334,38.0,0.0412,13.0
1767115284.4207745,0.2903,0,51.0,0.2334,38.0,0.0569,13.0
1767115284.44766,0.2653,0,51.0,0.2334,38.0,0.0319,13.0
1767115284.4800966,0.254,0,51.0,0.2334,38.0,0.0206,13.0
1767115284.5112193,0.2597,0,51.0,0.2334,38.0,0.0263,13.0
1767115284.5491831,0.2564,0,51.0,0.2334,38.0,0.023,13.0
1767115284.5768301,0.2757,0,51.0,0.2334,38.0,0.0423,13.0
1767115284.6268952,0.2605,0,51.0,0.2334,38.0,0.0271,13.0
1767115284.6571305,0.2813,0,51.0,0.2334,38.0,0.0479,13.0
1767115284.6734953,0.2813,0,51.0,0.2334,38.0,0.0479,13.0
1767115284.7038848,0.2671,0,51.0,0.2334,38.0,0.0337,13.0
1767115284.7194984,0.2765,0,51.0,0.2334,38.0,0.0431,13.0
1767115284.7589242,0.2903,0,51.0,0.2334,38.0,0.0569,13.0
1767115284.783623,0.2757,0,51.0,0.2334,38.0,0.0423,13.0
1767115284.8529766,0.2606,0,51.0,0.2334,38.0,0.0272,13.0
1767115284.879954,0.2813,0,51.0,0.2334,38.0,0.0479,13.0
1767115284.9129796,0.2741,0,51.0,0.2334,38.0,0.0407,13.0
1767115284.962447,0.2796,0,51.0,0.2334,38.0,0.0462,13.0
1767115284.9938078,0.2646,0,51.0,0.2334,38.0,0.0312,13.0
1767115285.0108976,0.2646,0,51.0,0.2334,38.0,0.0312,13.0
1767115285.0364335,0.2662,0,51.0,0.2334,38.0,0.0328,13.0
1767115285.0569274,0.2593,0,51.0,0.2334,38.0,0.0259,13.0
1767115285.0894575,0.253,0,51.0,0.2334,38.0,0.0196,13.0
1767115285.120055,0.2638,0,51.0,0.2334,38.0,0.0304,13.0
1767115285.1529984,0.2267,0,51.0,0.2334,38.0,-0.0067,13.0
1767115285.184543,0.1575,0,51.0,0.2334,38.0,-0.0759,13.0
1767115285.2554982,0.2072,0,51.0,0.2334,38.0,-0.0262,13.0
1767115285.2999537,0.221,0,51.0,0.2334,38.0,-0.0124,13.0
1767115285.3306634,0.2535,0,51.0,0.2334,38.0,0.0201,13.0
1767115285.3496192,0.2535,0,51.0,0.2334,38.0,0.0201,13.0
1767115285.3737984,0.2487,0,51.0,0.2334,38.0,0.0153,13.0
1767115285.3926167,0.2467,0,51.0,0.2334,38.0,0.0133,13.0
1767115285.4287565,0.2476,0,51.0,0.2334,38.0,0.0142,13.0
1767115285.4562833,0.2443,0,51.0,0.2334,38.0,0.0109,13.0
1767115285.4886231,0.2639,0,51.0,0.2334,38.0,0.0305,13.0
1767115285.5237062,0.2659,0,51.0,0.2334,38.0,0.0325,13.0
1767115285.552991,0.2601,0,51.0,0.2334,38.0,0.0267,13.0
1767115285.6396627,0.2612,0,51.0,0.2334,38.0,0.0278,13.0
1767115285.6839607,0.2659,0,51.0,0.2334,38.0,0.0325,13.0
1767115285.7119424,0.2659,0,51.0,0.2334,38.0,0.0325,13.0
1767115285.7440581,0.2773,0,51.0,0.2334,38.0,0.0439,13.0
1767115285.776408,0.261,0,51.0,0.2334,38.0,0.0276,13.0
1767115285.8062122,0.2771,0,51.0,0.2334,38.0,0.0437,13.0
1767115285.8210552,0.2601,0,51.0,0.2334,38.0,0.0267,13.0
1767115285.838682,0.2668,0,51.0,0.2334,38.0,0.0334,13.0
1767115285.8698044,0.2763,0,51.0,0.2334,38.0,0.0429,13.0
1767115285.8881078,0.2807,0,51.0,0.2334,38.0,0.0473,13.0
1767115285.921361,0.2709,0,51.0,0.2334,38.0,0.0375,13.0
1767115285.973753,0.2706,0,50.0,0.2334,38.0,0.0372,12.0
1767115285.9991727,0.2757,0,50.0,0.2334,38.0,0.0423,12.0
1767115286.0298212,0.2813,0,50.0,0.2334,38.0,0.0479,12.0
1767115286.0615668,0.2757,0,50.0,0.2334,38.0,0.0423,12.0
1767115286.098987,0.2493,0,50.0,0.2334,38.0,0.0159,12.0
1767115286.1273096,0.1011,0,50.0,0.2334,38.0,-0.1323,12.0
1767115286.1599853,0.0478,0,50.0,0.2334,38.0,-0.1856,12.0
1767115286.1899538,0.0403,0,50.0,0.2334,38.0,-0.1931,12.0
1767115286.2292058,0.0479,0,50.0,0.2334,38.0,-0.1855,12.0
1767115286.255886,0.0575,0,50.0,0.2334,38.0,-0.1759,12.0
1767115286.311307,0.0207,0,50.0,0.2334,38.0,-0.2127,12.0
1767115286.345227,0.04,0,50.0,0.2334,38.0,-0.1934,12.0
1767115286.3695433,0.0355,0,50.0,0.2334,38.0,-0.1979,12.0
1767115286.4024308,0.1296,0,50.0,0.2334,38.0,-0.1038,12.0
1767115286.439514,0.2361,1,51.0,0.2334,38.0,0.0027,13.0
1767115286.4831161,0.2821,0,51.0,0.2334,38.0,0.0487,13.0
1767115286.5112293,0.2867,0,51.0,0.2334,38.0,0.0533,13.0
1767115286.528518,0.3076,0,51.0,0.2334,38.0,0.0742,13.0
1767115286.5626714,0.302,0,51.0,0.2334,38.0,0.0686,13.0
1767115286.5948474,0.2944,0,51.0,0.2334,38.0,0.061,13.0
1767115286.6466258,0.2927,0,51.0,0.2334,38.0,0.0593,13.0
1767115286.6740127,0.3119,0,51.0,0.2334,38.0,0.0785,13.0
1767115286.7056687,0.2838,0,51.0,0.2334,38.0,0.0504,13.0
1767115286.736213,0.0687,0,51.0,0.2334,38.0,-0.1647,13.0
1767115286.7690532,0.0,0,51.0,0.2334,38.0,-0.2334,13.0
1767115286.800555,0.0251,0,51.0,0.2334,38.0,-0.2083,13.0
1767115286.8330398,0.0434,0,51.0,0.2334,38.0,-0.19,13.0
1767115286.863963,0.0917,0,51.0,0.2334,38.0,-0.1417,13.0
1767115286.8950088,0.1347,0,51.0,0.2334,38.0,-0.0987,13.0
1767115286.930624,0.1805,0,51.0,0.2334,38.0,-0.0529,13.0
1767115286.9795845,0.1969,0,51.0,0.2334,38.0,-0.0365,13.0
1767115287.0101113,0.2014,0,51.0,0.2334,38.0,-0.032,13.0
1767115287.039171,0.2175,1,52.0,0.2334,38.0,-0.0159,14.0
1767115287.0722218,0.2167,0,52.0,0.2334,38.0,-0.0167,14.0
1767115287.108931,0.2299,0,52.0,0.2334,38.0,-0.0035,14.0
1767115287.1368184,0.2299,0,52.0,0.2334,38.0,-0.0035,14.0
1767115287.1687644,0.2304,0,52.0,0.2334,38.0,-0.003,14.0
1767115287.2006216,0.225,0,52.0,0.2334,38.0,-0.0084,14.0
1767115287.240458,0.2352,0,52.0,0.2334,38.0,0.0018,14.0
1767115287.2713878,0.2308,0,52.0,0.2334,38.0,-0.0026,14.0
1767115287.3135695,0.2358,0,52.0,0.2334,38.0,0.0024,14.0
1767115287.3421803,0.2358,0,52.0,0.2334,38.0,0.0024,14.0
1767115287.3749886,0.2191,0,52.0,0.2334,38.0,-0.0143,14.0
1767115287.4056807,0.2366,0,52.0,0.2334,38.0,0.0032,14.0
1767115287.4415338,0.2371,0,52.0,0.2334,38.0,0.0037,14.0
1767115287.4696343,0.2387,0,52.0,0.2334,38.0,0.0053,14.0
1767115287.5043912,0.2438,0,52.0,0.2334,38.0,0.0104,14.0
1767115287.5355756,0.2552,0,52.0,0.2334,38.0,0.0218,14.0
1767115287.568109,0.2514,0,52.0,0.2334,38.0,0.018,14.0
1767115287.601419,0.2568,0,52.0,0.2334,38.0,0.0234,14.0
1767115287.6554184,0.2455,0,52.0,0.2334,38.0,0.0121,14.0
1767115287.6843538,0.2363,0,52.0,0.2334,38.0,0.0029,14.0
1767115287.7112837,0.2513,0,52.0,0.2334,38.0,0.0179,14.0
1767115287.743224,0.2449,0,52.0,0.2334,38.0,0.0115,14.0
1767115287.7773094,0.2424,0,52.0,0.2334,38.0,0.009,14.0
1767115287.8057203,0.2504,0,52.0,0.2334,38.0,0.017,14.0
1767115287.8406646,0.2396,0,52.0,0.2334,38.0,0.0062,14.0
1767115287.8704138,0.2371,0,52.0,0.2334,38.0,0.0037,14.0
1767115287.910547,0.2396,0,52.0,0.2334,38.0,0.0062,14.0
1767115287.936136,0.2422,0,52.0,0.2334,38.0,0.0088,14.0
1767115287.9859552,0.2371,0,52.0,0.2334,38.0,0.0037,14.0
1767115288.0170255,0.2456,0,52.0,0.2334,38.0,0.0122,14.0
1767115288.04703,0.2405,0,52.0,0.2334,38.0,0.0071,14.0
1767115288.0814693,0.2504,0,52.0,0.2334,38.0,0.017,14.0
1767115288.1135244,0.2449,0,52.0,0.2334,38.0,0.0115,14.0
1767115288.1454625,0.2571,0,52.0,0.2334,38.0,0.0237,14.0
1767115288.1785965,0.2449,0,52.0,0.2334,38.0,0.0115,14.0
1767115288.2094364,0.2346,0,52.0,0.2334,38.0,0.0012,14.0
1767115288.2417245,0.2299,0,52.0,0.2334,38.0,-0.0035,14.0
1767115288.272682,0.2299,0,52.0,0.2334,38.0,-0.0035,14.0
1767115288.3247645,0.2291,0,52.0,0.2334,38.0,-0.0043,14.0
1767115288.354649,0.2411,0,52.0,0.2334,38.0,0.0077,14.0
1767115288.374209,0.2411,0,52.0,0.2334,38.0,0.0077,14.0
1767115288.4180844,0.2363,0,51.0,0.2334,38.0,0.0029,13.0
1767115288.450317,0.2449,0,51.0,0.2334,38.0,0.0115,13.0
1767115288.4817932,0.2398,0,51.0,0.2334,38.0,0.0064,13.0
1767115288.5156426,0.2352,0,51.0,0.2334,38.0,0.0018,13.0
1767115288.5457926,0.2561,0,51.0,0.2334,38.0,0.0227,13.0
1767115288.5790305,0.2396,0,51.0,0.2334,38.0,0.0062,13.0
1767115288.608809,0.2371,0,51.0,0.2334,38.0,0.0037,13.0
1767115288.6589243,0.2504,0,51.0,0.2334,38.0,0.017,13.0
1767115288.6891289,0.2449,0,51.0,0.2334,38.0,0.0115,13.0
1767115288.7067988,0.2449,0,51.0,0.2334,38.0,0.0115,13.0
1767115288.734997,0.2449,0,51.0,0.2334,38.0,0.0115,13.0
1767115288.750974,0.2479,0,51.0,0.2334,38.0,0.0145,13.0
1767115288.8244348,0.2557,0,51.0,0.2334,38.0,0.0223,13.0
1767115288.8478584,0.2407,0,51.0,0.2334,38.0,0.0073,13.0
1767115288.8809266,0.2601,0,51.0,0.2334,38.0,0.0267,13.0
1767115288.9132156,0.2613,0,51.0,0.2334,38.0,0.0279,13.0
1767115288.9451818,0.2597,0,51.0,0.2334,38.0,0.0263,13.0
1767115288.9960608,0.2546,0,51.0,0.2334,38.0,0.0212,13.0
1767115289.026682,0.2495,0,51.0,0.2334,38.0,0.0161,13.0
1767115289.045408,0.2495,0,51.0,0.2334,38.0,0.0161,13.0
1767115289.0673978,0.2398,0,51.0,0.2334,38.0,0.0064,13.0
1767115289.0862987,0.2708,0,51.0,0.2334,38.0,0.0374,13.0
1767115289.1315787,0.251,0,51.0,0.2334,38.0,0.0176,13.0
1767115289.1530821,0.2458,0,51.0,0.2334,38.0,0.0124,13.0
1767115289.186534,0.2698,0,51.0,0.2334,38.0,0.0364,13.0
1767115289.2521229,0.2444,0,51.0,0.2334,38.0,0.011,13.0
1767115289.2797322,0.2455,0,51.0,0.2334,38.0,0.0121,13.0
1767115289.3357248,0.2659,0,51.0,0.2334,38.0,0.0325,13.0
1767115289.366053,0.2501,0,51.0,0.2334,38.0,0.0167,13.0
1767115289.3842413,0.2501,0,51.0,0.2334,38.0,0.0167,13.0
1767115289.4046612,0.242,0,51.0,0.2334,38.0,0.0086,13.0
1767115289.4248455,0.251,0,51.0,0.2334,38.0,0.0176,13.0
1767115289.4588995,0.2474,0,51.0,0.2334,38.0,0.014,13.0
1767115289.4900827,0.2658,0,51.0,0.2334,38.0,0.0324,13.0
1767115289.5231597,0.2513,0,51.0,0.2334,38.0,0.0179,13.0
1767115289.551854,0.2698,0,51.0,0.2334,38.0,0.0364,13.0
1767115289.587759,0.2596,0,51.0,0.2334,38.0,0.0262,13.0
1767115289.6710548,0.2607,0,51.0,0.2334,38.0,0.0273,13.0
1767115289.6966977,0.2555,0,51.0,0.2334,38.0,0.0221,13.0
1767115289.716382,0.2555,0,51.0,0.2334,38.0,0.0221,13.0
1767115289.730307,0.2543,0,51.0,0.2334,38.0,0.0209,13.0
1767115289.7591572,0.2396,0,51.0,0.2334,38.0,0.0062,13.0
1767115289.7943568,0.2549,0,51.0,0.2334,38.0,0.0215,13.0
1767115289.8232944,0.2348,0,51.0,0.2334,38.0,0.0014,13.0
1767115289.859004,0.2449,0,51.0,0.2334,38.0,0.0115,13.0
1767115289.890713,0.2341,0,51.0,0.2334,38.0,0.0007,13.0
1767115289.9257033,0.2456,0,51.0,0.2334,38.0,0.0122,13.0
1767115289.9519992,0.2513,0,51.0,0.2334,38.0,0.0179,13.0
1767115290.004579,0.2456,0,51.0,0.2334,38.0,0.0122,13.0
1767115290.0325577,0.2382,0,51.0,0.2334,38.0,0.0048,13.0
1767115290.0670645,0.1952,0,51.0,0.2334,38.0,-0.0382,13.0
1767115290.119513,0.1696,0,51.0,0.2334,38.0,-0.0638,13.0
1767115290.1440027,0.191,0,51.0,0.2334,38.0,-0.0424,13.0
1767115290.1738641,0.2103,1,52.0,0.2334,38.0,-0.0231,14.0
1767115290.1905348,0.2055,0,52.0,0.2334,38.0,-0.0279,14.0
1767115290.2249823,0.2169,0,52.0,0.2334,38.0,-0.0165,14.0
1767115290.256573,0.2555,0,52.0,0.2334,38.0,0.0221,14.0
1767115290.2885876,0.2371,0,52.0,0.2334,38.0,0.0037,14.0
1767115290.343943,0.2501,0,52.0,0.2334,38.0,0.0167,14.0
1767115290.3863075,0.2371,0,52.0,0.2334,38.0,0.0037,14.0
1767115290.4136202,0.2377,0,52.0,0.2334,38.0,0.0043,14.0
1767115290.434756,0.2552,0,52.0,0.2334,38.0,0.0218,14.0
1767115290.4659028,0.2552,0,52.0,0.2334,38.0,0.0218,14.0
1767115290.497961,0.2435,0,52.0,0.2334,38.0,0.0101,14.0
1767115290.527735,0.2278,0,52.0,0.2334,38.0,-0.0056,14.0
1767115290.5619926,0.2407,0,52.0,0.2334,38.0,0.0073,14.0
1767115290.593985,0.2504,0,52.0,0.2334,38.0,0.017,14.0
1767115290.6266825,0.2464,0,52.0,0.2334,38.0,0.013,14.0
1767115290.6804638,0.2449,0,52.0,0.2334,38.0,0.0115,14.0
1767115290.7083163,0.247,0,52.0,0.2334,38.0,0.0136,14.0
1767115290.736907,0.2372,0,52.0,0.2334,38.0,0.0038,14.0
1767115290.7719572,0.2396,0,52.0,0.2334,38.0,0.0062,14.0
1767115290.8026905,0.2449,0,52.0,0.2334,38.0,0.0115,14.0
